Topic,File,Sentence Number
1,10ecbplus,1
1,10ecbplus,3
1,11ecbplus,1
1,11ecbplus,2
1,11ecbplus,5
1,12ecbplus,1
1,12ecbplus,3
1,13ecbplus,1
1,13ecbplus,3
1,14ecbplus,1
1,14ecbplus,4
1,15ecbplus,1
1,15ecbplus,3
1,16ecbplus,1
1,16ecbplus,3
1,17ecbplus,1
1,17ecbplus,4
1,18ecbplus,1
1,18ecbplus,3
1,18ecbplus,4
1,19ecbplus,1
1,19ecbplus,3
1,19ecbplus,4
1,1ecbplus,1
1,1ecbplus,3
1,1ecbplus,4
1,1ecbplus,5
1,20ecbplus,1
1,20ecbplus,3
1,20ecbplus,4
1,21ecbplus,1
1,21ecbplus,3
1,21ecbplus,5
1,21ecbplus,7
1,2ecbplus,2
1,2ecbplus,4
1,3ecbplus,1
1,3ecbplus,3
1,4ecbplus,1
1,4ecbplus,6
1,4ecbplus,7
1,5ecbplus,1
1,5ecbplus,3
1,6ecbplus,1
1,6ecbplus,3
1,7ecbplus,1
1,7ecbplus,3
1,7ecbplus,4
1,8ecbplus,1
1,8ecbplus,4
1,8ecbplus,5
1,8ecbplus,6
1,8ecbplus,7
1,9ecbplus,1
1,9ecbplus,2
1,9ecbplus,4
1,9ecbplus,5
2,10ecbplus,1
2,10ecbplus,3
2,10ecbplus,4
2,11ecbplus,2
2,11ecbplus,4
2,1ecbplus,1
2,1ecbplus,3
2,1ecbplus,4
2,2ecbplus,1
2,2ecbplus,3
2,2ecbplus,4
2,3ecbplus,1
2,3ecbplus,3
2,3ecbplus,4
2,4ecbplus,1
2,4ecbplus,3
2,4ecbplus,4
2,5ecbplus,1
2,5ecbplus,3
2,5ecbplus,4
2,6ecbplus,1
2,6ecbplus,3
2,7ecbplus,1
2,7ecbplus,3
2,7ecbplus,4
2,8ecbplus,1
2,8ecbplus,3
2,8ecbplus,4
2,9ecbplus,1
2,9ecbplus,2
2,9ecbplus,3
3,10ecbplus,1
3,10ecbplus,3
3,10ecbplus,4
3,11ecbplus,2
3,11ecbplus,3
3,11ecbplus,5
3,1ecbplus,1
3,1ecbplus,3
3,1ecbplus,5
3,2ecbplus,1
3,2ecbplus,3
3,2ecbplus,4
3,3ecbplus,1
3,3ecbplus,3
3,3ecbplus,5
3,4ecbplus,1
3,4ecbplus,2
3,5ecbplus,1
3,5ecbplus,5
3,5ecbplus,6
3,6ecbplus,1
3,6ecbplus,3
3,6ecbplus,4
3,7ecbplus,1
3,7ecbplus,2
3,8ecbplus,1
3,8ecbplus,4
3,8ecbplus,6
3,9ecbplus,5
3,9ecbplus,2
3,9ecbplus,4
4,10ecbplus,1
4,10ecbplus,2
4,10ecbplus,4
4,11ecbplus,1
4,11ecbplus,3
4,11ecbplus,6
4,1ecbplus,2
4,1ecbplus,4
4,1ecbplus,7
4,2ecbplus,1
4,2ecbplus,3
4,3ecbplus,1
4,4ecbplus,1
4,4ecbplus,3
4,4ecbplus,4
4,5ecbplus,1
4,5ecbplus,6
4,6ecbplus,2
4,8ecbplus,1
4,8ecbplus,5
4,8ecbplus,6
4,9ecbplus,3
4,9ecbplus,5
5,10ecbplus,1
5,10ecbplus,2
5,1ecbplus,1
5,1ecbplus,3
5,2ecbplus,1
5,2ecbplus,3
5,2ecbplus,4
5,3ecbplus,1
5,4ecbplus,1
5,4ecbplus,3
5,5ecbplus,2
5,5ecbplus,7
5,6ecbplus,11
5,7ecbplus,2
5,7ecbplus,3
5,8ecbplus,1
5,8ecbplus,2
5,9ecbplus,10
6,10ecbplus,1
6,10ecbplus,4
6,11ecbplus,3
6,11ecbplus,1
6,1ecbplus,1
6,1ecbplus,7
6,2ecbplus,1
6,2ecbplus,5
6,3ecbplus,1
6,3ecbplus,4
6,4ecbplus,1
6,4ecbplus,3
6,5ecbplus,1
6,6ecbplus,1
6,6ecbplus,4
6,7ecbplus,1
6,8ecbplus,1
6,8ecbplus,4
6,9ecbplus,1
6,9ecbplus,3
7,10ecbplus,1
7,10ecbplus,2
7,11ecbplus,1
7,11ecbplus,3
7,1ecbplus,1
7,1ecbplus,3
7,2ecbplus,1
7,2ecbplus,4
7,3ecbplus,1
7,3ecbplus,4
7,4ecbplus,1
7,4ecbplus,3
7,5ecbplus,1
7,5ecbplus,3
7,6ecbplus,1
7,6ecbplus,3
7,7ecbplus,2
7,7ecbplus,3
7,8ecbplus,1
7,8ecbplus,4
7,9ecbplus,1
7,9ecbplus,3
8,10ecbplus,1
8,10ecbplus,3
8,10ecbplus,4
8,11ecbplus,3
8,1ecbplus,1
8,1ecbplus,5
8,2ecbplus,1
8,2ecbplus,3
8,3ecbplus,1
8,3ecbplus,6
8,4ecbplus,1
8,4ecbplus,2
8,5ecbplus,1
8,5ecbplus,3
8,6ecbplus,3
8,7ecbplus,1
8,7ecbplus,5
8,8ecbplus,3
8,9ecbplus,3
9,10ecbplus,1
9,11ecbplus,1
9,12ecbplus,1
9,13ecbplus,14 
9,1ecbplus,2
9,2ecbplus,2
9,3ecbplus,2
9,4ecbplus,2
9,5ecbplus,1
9,6ecbplus,1
9,7ecbplus,1
9,8ecbplus,1
9,9ecbplus,1
10,13ecbplus,1
10,13ecbplus,3
10,15ecbplus,1
10,15ecbplus,2
10,17ecbplus,2
10,18ecbplus,1
10,18ecbplus,3
10,18ecbplus,4
10,19ecbplus,3
10,1ecbplus,1
10,1ecbplus,2
10,20ecbplus,2
10,21ecbplus,3
10,2ecbplus,2
10,3ecbplus,1
10,4ecbplus,6
10,6ecbplus,5
10,9ecbplus,6
11,1ecbplus,1
11,1ecbplus,3
11,2ecbplus,1
11,2ecbplus,3
11,3ecbplus,1
11,3ecbplus,3
11,4ecbplus,1
11,5ecbplus,7
12,10ecbplus,1
12,10ecbplus,3
12,11ecbplus,1
12,11ecbplus,3
12,1ecbplus,2
12,1ecbplus,3
12,2ecbplus,1
12,2ecbplus,3
12,2ecbplus,4
12,3ecbplus,1
12,3ecbplus,3
12,4ecbplus,1
12,4ecbplus,3
12,5ecbplus,3
12,6ecbplus,1
12,6ecbplus,3
12,7ecbplus,1
12,7ecbplus,3
12,8ecbplus,1
12,9ecbplus,3
13,10ecbplus,3
13,11ecbplus,1
13,11ecbplus,4
13,12ecbplus,3
13,13ecbplus,1
13,13ecbplus,3
13,14ecbplus,26
13,4ecbplus,4
13,4ecbplus,6
13,4ecbplus,23
13,5ecbplus,1
13,6ecbplus,1
13,6ecbplus,3
13,7ecbplus,1
13,7ecbplus,4
13,8ecbplus,1
13,8ecbplus,4
13,9ecbplus,1
13,9ecbplus,3
14,10ecbplus,1
14,10ecbplus,3
14,11ecbplus,1
14,11ecbplus,3
14,11ecbplus,4
14,1ecbplus,2
14,1ecbplus,3
14,2ecbplus,2
14,2ecbplus,3
14,3ecbplus,2
14,3ecbplus,3
14,4ecbplus,1
14,4ecbplus,2
14,5ecbplus,3
14,6ecbplus,2
14,6ecbplus,3
14,7ecbplus,1
14,7ecbplus,4
14,8ecbplus,1
14,9ecbplus,1
14,9ecbplus,3
16,10ecbplus,1
16,11ecbplus,5
16,11ecbplus,3
16,1ecbplus,4
16,1ecbplus,5
16,2ecbplus,1
16,2ecbplus,5
16,3ecbplus,5
16,3ecbplus,7
16,4ecbplus,1
16,4ecbplus,5
16,5ecbplus,3
16,5ecbplus,6
16,6ecbplus,2
16,7ecbplus,2
16,7ecbplus,4
16,8ecbplus,1
16,8ecbplus,3
16,9ecbplus,4
18,10ecbplus,6
18,11ecbplus,1
18,11ecbplus,3
18,1ecbplus,1
18,1ecbplus,3
18,2ecbplus,1
18,2ecbplus,3
18,3ecbplus,1
18,3ecbplus,3
18,4ecbplus,1
18,4ecbplus,4
18,5ecbplus,1
18,5ecbplus,3
18,6ecbplus,1
18,6ecbplus,3
18,7ecbplus,1
18,7ecbplus,3
18,8ecbplus,1
18,8ecbplus,3
18,9ecbplus,1
19,10ecbplus,1
19,10ecbplus,2
19,10ecbplus,4
19,11ecbplus,1
19,11ecbplus,3
19,11ecbplus,13
19,9ecbplus,1
19,9ecbplus,2
19,8ecbplus,2
19,8ecbplus,4
19,7ecbplus,1
19,7ecbplus,3
19,6ecbplus,4
19,6ecbplus,12
19,6ecbplus,15
19,5ecbplus,1
19,4ecbplus,1
19,3ecbplus,1
19,2ecbplus,2
19,2ecbplus,3
19,1ecbplus,1
20,11ecbplus,1
20,11ecbplus,2
20,11ecbplus,5
20,1ecbplus,2
20,1ecbplus,3
20,1ecbplus,4
20,2ecbplus,2
20,3ecbplus,3
20,3ecbplus,4
20,3ecbplus,11
20,4ecbplus,1
20,4ecbplus,3
20,5ecbplus,2
20,5ecbplus,3
20,6ecbplus,1
20,6ecbplus,3
20,6ecbplus,4
20,7ecbplus,2
20,7ecbplus,3
20,8ecbplus,1
20,8ecbplus,3
20,8ecbplus,9
20,9ecbplus,1
20,9ecbplus,3
21,10ecbplus,1
21,10ecbplus,3
21,10ecbplus,6
21,11ecbplus,1
21,11ecbplus,2
21,12ecbplus,1
21,12ecbplus,3
21,13ecbplus,1
21,13ecbplus,2
21,13ecbplus,3
21,14ecbplus,1
21,14ecbplus,3
21,1ecbplus,1
21,1ecbplus,3
21,1ecbplus,4
21,2ecbplus,1
21,2ecbplus,3
21,2ecbplus,4
21,3ecbplus,1
21,3ecbplus,4
21,4ecbplus,1
21,4ecbplus,4
21,4ecbplus,5
21,5ecbplus,1
21,5ecbplus,3
21,5ecbplus,6
21,6ecbplus,8
21,6ecbplus,9
21,7ecbplus,1
21,7ecbplus,4
21,7ecbplus,5
21,8ecbplus,1
21,8ecbplus,2
21,9ecbplus,1
21,9ecbplus,3
21,9ecbplus,4
22,10ecbplus,1
22,10ecbplus,2
22,10ecbplus,5
22,11ecbplus,2
22,11ecbplus,3
22,11ecbplus,4
22,12ecbplus,1
22,12ecbplus,3
22,12ecbplus,9
22,13ecbplus,1
22,13ecbplus,4
22,14ecbplus,2
22,14ecbplus,3
22,14ecbplus,9
22,1ecbplus,6
22,1ecbplus,7
22,2ecbplus,1
22,2ecbplus,4
22,2ecbplus,5
22,3ecbplus,1
22,4ecbplus,1
22,4ecbplus,3
22,5ecbplus,1
22,5ecbplus,3
22,6ecbplus,3
22,7ecbplus,1
22,7ecbplus,3
22,8ecbplus,1
22,8ecbplus,3
22,8ecbplus,5
22,9ecbplus,9
23,10ecbplus,1
23,10ecbplus,2
23,10ecbplus,4
23,10ecbplus,13
23,11ecbplus,1
23,11ecbplus,3
23,11ecbplus,4
23,11ecbplus,12
23,1ecbplus,1
23,1ecbplus,3
23,1ecbplus,4
23,1ecbplus,7
23,2ecbplus,1
23,2ecbplus,4
23,2ecbplus,15
23,2ecbplus,16
23,3ecbplus,1
23,3ecbplus,2
23,3ecbplus,6
23,3ecbplus,10
23,4ecbplus,2
23,4ecbplus,3
23,4ecbplus,6
23,4ecbplus,9
23,5ecbplus,13
23,5ecbplus,2
23,5ecbplus,3
23,5ecbplus,4
23,6ecbplus,1
23,6ecbplus,3
23,6ecbplus,6
23,6ecbplus,10
23,7ecbplus,3
23,7ecbplus,5
23,7ecbplus,7
23,8ecbplus,1
23,8ecbplus,3
23,8ecbplus,10
23,9ecbplus,3
23,9ecbplus,1
24,10ecbplus,1
24,10ecbplus,2
24,10ecbplus,3
24,11ecbplus,2
24,11ecbplus,3
24,11ecbplus,4
24,1ecbplus,1
24,1ecbplus,2
24,1ecbplus,3
24,2ecbplus,1
24,2ecbplus,2
24,2ecbplus,7
24,3ecbplus,1
24,3ecbplus,2
24,4ecbplus,2
24,4ecbplus,3
24,4ecbplus,5
24,5ecbplus,1
24,5ecbplus,4
24,6ecbplus,1
24,6ecbplus,3
24,6ecbplus,4
24,7ecbplus,1
24,7ecbplus,3
24,8ecbplus,1
24,8ecbplus,3
24,9ecbplus,2
24,9ecbplus,1
24,9ecbplus,4
25,10ecbplus,3
25,11ecbplus,1
25,11ecbplus,4
25,13ecbplus,1
25,13ecbplus,6
25,14ecbplus,1
25,14ecbplus,3
25,15ecbplus,1
25,15ecbplus,4
25,3ecbplus,2
25,3ecbplus,4
25,5ecbplus,1
25,5ecbplus,3
25,6ecbplus,2
25,6ecbplus,3
25,7ecbplus,1
25,8ecbplus,2
25,8ecbplus,3
25,9ecbplus,1
25,9ecbplus,3
26,10ecbplus,1
26,10ecbplus,3
26,11ecbplus,1
26,11ecbplus,5
26,1ecbplus,1
26,1ecbplus,6
26,2ecbplus,2
26,2ecbplus,5
26,3ecbplus,1
26,3ecbplus,6
26,3ecbplus,4
26,4ecbplus,2
26,4ecbplus,10
26,5ecbplus,1
26,6ecbplus,3
26,7ecbplus,1
26,7ecbplus,3
26,8ecbplus,1
26,8ecbplus,5
26,9ecbplus,1
26,9ecbplus,5
27,10ecbplus,2
27,10ecbplus,3
27,10ecbplus,4
27,11ecbplus,1
27,11ecbplus,3
27,1ecbplus,2
27,1ecbplus,3
27,2ecbplus,1
27,3ecbplus,1
27,3ecbplus,4
27,4ecbplus,1
27,4ecbplus,3
27,4ecbplus,4
27,5ecbplus,1
27,5ecbplus,3
27,6ecbplus,1
27,6ecbplus,2
27,6ecbplus,3
27,7ecbplus,1
27,7ecbplus,2
27,7ecbplus,4
27,8ecbplus,1
27,8ecbplus,4
27,8ecbplus,7
27,9ecbplus,1
27,9ecbplus,2
28,10ecbplus,1
28,10ecbplus,3
28,11ecbplus,1
28,11ecbplus,3
28,11ecbplus,5
28,12ecbplus,3
28,12ecbplus,5
28,12ecbplus,6
28,1ecbplus,1
28,1ecbplus,4
28,2ecbplus,1
28,2ecbplus,3
28,2ecbplus,4
28,3ecbplus,1
28,3ecbplus,3
28,4ecbplus,1
28,4ecbplus,3
28,4ecbplus,5
28,4ecbplus,6
28,5ecbplus,3
28,5ecbplus,4
28,5ecbplus,5
28,6ecbplus,3
28,6ecbplus,5
28,6ecbplus,6
28,7ecbplus,1
28,7ecbplus,4
28,7ecbplus,6
28,8ecbplus,1
28,8ecbplus,3
28,8ecbplus,5
28,9ecbplus,1
28,9ecbplus,3
28,9ecbplus,5
29,10ecbplus,1
29,11ecbplus,1
29,11ecbplus,4
29,11ecbplus,6
29,12ecbplus,1
29,12ecbplus,3
29,13ecbplus,1
29,13ecbplus,3
29,13ecbplus,4
29,1ecbplus,1
29,1ecbplus,5
29,1ecbplus,6
29,2ecbplus,1
29,2ecbplus,4
29,3ecbplus,1
29,3ecbplus,3
29,3ecbplus,5
29,4ecbplus,1
29,4ecbplus,3
29,5ecbplus,1
29,5ecbplus,5
29,5ecbplus,6
29,6ecbplus,1
29,6ecbplus,5
29,6ecbplus,7
29,6ecbplus,8
29,7ecbplus,1
29,7ecbplus,3
29,7ecbplus,6
29,8ecbplus,1
29,8ecbplus,3
29,8ecbplus,4
29,9ecbplus,1
29,9ecbplus,4
30,10ecbplus,1
30,10ecbplus,2
30,10ecbplus,4
30,11ecbplus,1
30,11ecbplus,4
30,11ecbplus,5
30,12ecbplus,3
30,13ecbplus,1
30,13ecbplus,2
30,13ecbplus,4
30,1ecbplus,1
30,1ecbplus,2
30,1ecbplus,4
30,2ecbplus,2
30,2ecbplus,4
30,3ecbplus,1
30,3ecbplus,3
30,4ecbplus,1
30,4ecbplus,3
30,4ecbplus,4
30,5ecbplus,1
30,5ecbplus,3
30,5ecbplus,5
30,6ecbplus,1
30,6ecbplus,2
30,6ecbplus,4
30,7ecbplus,6
30,8ecbplus,1
30,8ecbplus,4
30,8ecbplus,5
30,9ecbplus,6
31,10ecbplus,1
31,11ecbplus,1
31,11ecbplus,3
31,1ecbplus,2
31,1ecbplus,3
31,2ecbplus,1
31,2ecbplus,14
31,3ecbplus,1
31,4ecbplus,10
31,5ecbplus,3
31,5ecbplus,4
31,5ecbplus,7
31,6ecbplus,1
31,6ecbplus,3
31,6ecbplus,4
31,7ecbplus,1
31,7ecbplus,4
31,8ecbplus,11
31,9ecbplus,1
32,10ecbplus,1
32,10ecbplus,3
32,10ecbplus,4
32,11ecbplus,1
32,11ecbplus,3
32,11ecbplus,4
32,1ecbplus,1
32,1ecbplus,3
32,1ecbplus,4
32,2ecbplus,1
32,2ecbplus,3
32,2ecbplus,5
32,3ecbplus,1
32,3ecbplus,3
32,3ecbplus,4
32,4ecbplus,2
32,4ecbplus,3
32,4ecbplus,4
32,5ecbplus,1
32,5ecbplus,3
32,5ecbplus,4
32,6ecbplus,1
32,6ecbplus,3
32,6ecbplus,4
32,7ecbplus,1
32,7ecbplus,3
32,8ecbplus,1
32,8ecbplus,2
32,8ecbplus,6
32,9ecbplus,1
32,9ecbplus,3
32,9ecbplus,6
33,10ecbplus,1
33,10ecbplus,3
33,11ecbplus,1
33,11ecbplus,3
33,1ecbplus,1
33,1ecbplus,3
33,1ecbplus,8
33,2ecbplus,1
33,2ecbplus,4
33,3ecbplus,1
33,3ecbplus,8
33,4ecbplus,1
33,4ecbplus,2
33,5ecbplus,1
33,5ecbplus,2
33,5ecbplus,3
33,5ecbplus,6
33,5ecbplus,7
33,6ecbplus,1
33,6ecbplus,2
33,6ecbplus,9
33,7ecbplus,2
33,7ecbplus,3
33,7ecbplus,5
33,8ecbplus,1
33,8ecbplus,3
33,8ecbplus,5
33,8ecbplus,6
33,9ecbplus,1
33,9ecbplus,3
33,9ecbplus,4
34,10ecbplus,1
34,11ecbplus,1
34,11ecbplus,3
34,12ecbplus,1
34,12ecbplus,4
34,1ecbplus,4
34,1ecbplus,5
34,2ecbplus,1
34,2ecbplus,3
34,3ecbplus,3
34,4ecbplus,1
34,4ecbplus,3
34,5ecbplus,1
34,5ecbplus,4
34,6ecbplus,1
34,6ecbplus,3
34,7ecbplus,1
34,7ecbplus,4
34,8ecbplus,2
34,9ecbplus,1
34,9ecbplus,3
34,9ecbplus,5
35,10ecbplus,1
35,10ecbplus,3
35,10ecbplus,4
35,11ecbplus,1
35,11ecbplus,2
35,11ecbplus,4
35,1ecbplus,1
35,1ecbplus,3
35,1ecbplus,4
